,cut_number,y,x
553,2,1491,3255
554,2,1491,3256
555,2,1491,3257
556,2,1492,3248
557,2,1492,3249
558,2,1492,3250
559,2,1492,3251
560,2,1492,3252
561,2,1492,3253
562,2,1492,3254
563,2,1492,3255
564,2,1492,3256
565,2,1492,3257
566,2,1493,3248
567,2,1493,3249
568,2,1493,3250
569,2,1493,3251
570,2,1493,3252
571,2,1493,3253
572,2,1493,3254
573,2,1493,3255
574,2,1493,3256
575,2,1493,3257
576,2,1494,3248
577,2,1494,3249
578,2,1494,3250
579,2,1494,3251
580,2,1494,3252
581,2,1494,3253
582,2,1494,3254
583,2,1494,3255
584,2,1494,3256
585,2,1494,3257
586,2,1495,3248
587,2,1495,3249
588,2,1495,3250
589,2,1495,3251
590,2,1495,3252
591,2,1495,3253
592,2,1495,3254
593,2,1495,3255
594,2,1495,3256
595,2,1495,3257
596,2,1496,3250
597,2,1496,3251
598,2,1496,3252
599,2,1496,3253
600,2,1496,3254
601,2,1496,3255
602,2,1497,3250
603,2,1497,3251
604,2,1497,3252
605,2,1497,3253
606,2,1497,3254
607,2,1497,3255
608,3,1882,2686
609,3,1882,2687
610,3,1882,2688
611,3,1882,2689
612,3,1882,2690
613,3,1882,2691
614,3,1882,2692
615,3,1882,2693
616,3,1882,2694
617,3,1882,2695
618,3,1882,2696
619,3,1882,2697
620,3,1883,2686
621,3,1883,2687
622,3,1883,2688
623,3,1883,2689
624,3,1883,2690
625,3,1883,2691
626,3,1883,2692
627,3,1883,2693
628,3,1883,2694
629,3,1883,2695
630,3,1883,2696
631,3,1883,2697
632,3,1884,2684
633,3,1884,2685
634,3,1884,2686
635,3,1884,2687
636,3,1884,2688
637,3,1884,2689
638,3,1884,2690
639,3,1884,2691
640,3,1884,2692
641,3,1884,2693
642,3,1884,2694
643,3,1884,2695
644,3,1884,2696
645,3,1884,2697
646,3,1884,2698
647,3,1884,2699
648,3,1885,2684
649,3,1885,2685
650,3,1885,2686
651,3,1885,2687
652,3,1885,2688
653,3,1885,2689
654,3,1885,2690
655,3,1885,2691
656,3,1885,2692
657,3,1885,2693
658,3,1885,2694
659,3,1885,2695
660,3,1885,2696
661,3,1885,2697
662,3,1885,2698
663,3,1885,2699
664,3,1886,2684
665,3,1886,2685
666,3,1886,2686
667,3,1886,2687
668,3,1886,2688
669,3,1886,2689
670,3,1886,2690
671,3,1886,2691
672,3,1886,2692
673,3,1886,2693
674,3,1886,2694
