,cut_number,y,x
1036,8,1247,1910
1037,8,1247,1911
1038,8,1247,1912
1039,8,1247,1913
1040,8,1247,1914
1041,8,1247,1915
1042,8,1247,1916
1043,8,1247,1917
1044,8,1247,1918
1045,8,1247,1919
1046,8,1247,1920
1047,8,1247,1921
1048,8,1247,1922
1049,8,1247,1923
1050,8,1247,1924
1051,8,1247,1925
1052,9,1124,2914
1053,9,1124,2915
1054,9,1124,2916
1055,9,1124,2917
1056,9,1124,2918
1057,9,1124,2919
1058,9,1125,2914
1059,9,1125,2915
1060,9,1125,2916
1061,9,1125,2917
1062,9,1125,2918
1063,9,1125,2919
1064,9,1126,2912
1065,9,1126,2913
1066,9,1126,2914
1067,9,1126,2915
1068,9,1126,2916
1069,9,1126,2917
1070,9,1126,2918
1071,9,1126,2919
1072,9,1126,2920
1073,9,1126,2921
1074,9,1127,2912
1075,9,1127,2913
1076,9,1127,2914
1077,9,1127,2915
1078,9,1127,2916
1079,9,1127,2917
1080,9,1127,2918
1081,9,1127,2919
1082,9,1127,2920
1083,9,1127,2921
1084,9,1128,2912
1085,9,1128,2913
1086,9,1128,2914
1087,9,1128,2915
1088,9,1128,2916
1089,9,1128,2917
1090,9,1128,2918
1091,9,1128,2919
1092,9,1128,2920
1093,9,1128,2921
1094,9,1129,2912
1095,9,1129,2913
1096,9,1129,2914
1097,9,1129,2915
1098,9,1129,2916
1099,9,1129,2917
1100,9,1129,2918
1101,9,1129,2919
1102,9,1129,2920
1103,9,1129,2921
1104,9,1130,2912
1105,9,1130,2913
1106,9,1130,2914
1107,9,1130,2915
1108,9,1130,2916
1109,9,1130,2917
1110,9,1130,2918
1111,9,1130,2919
1112,9,1130,2920
1113,9,1130,2921
1114,9,1131,2912
1115,9,1131,2913
1116,9,1131,2914
1117,9,1131,2915
1118,9,1131,2916
1119,9,1131,2917
1120,9,1131,2918
1121,9,1131,2919
1122,9,1131,2920
1123,9,1131,2921
1124,9,1132,2912
1125,9,1132,2913
1126,9,1132,2914
1127,9,1132,2915
1128,9,1132,2916
1129,9,1132,2917
1130,9,1132,2918
1131,9,1132,2919
1132,9,1132,2920
1133,9,1132,2921
1134,9,1133,2912
1135,9,1133,2913
1136,9,1133,2914
1137,9,1133,2915
1138,9,1133,2916
1139,9,1133,2917
1140,9,1133,2918
1141,9,1133,2919
1142,9,1133,2920
1143,9,1133,2921
1144,9,1134,2914
1145,9,1134,2915
1146,9,1134,2916
1147,9,1134,2917
1148,9,1134,2918
1149,9,1134,2919
1150,9,1135,2914
1151,9,1135,2915
1152,9,1135,2916
1153,9,1135,2917
1154,9,1135,2918
1155,9,1135,2919
1156,10,352,2516
1157,10,352,2517
1158,10,352,2518
1159,10,352,2519
1160,10,352,2520
1161,10,352,2521
1162,10,353,2516
1163,10,353,2517
1164,10,353,2518
1165,10,353,2519
1166,10,353,2520
1167,10,353,2521
1168,10,354,2512
1169,10,354,2513
1170,10,354,2514
1171,10,354,2515
1172,10,354,2516
1173,10,354,2517
1174,10,354,2518
1175,10,354,2519
1176,10,354,2520
1177,10,354,2521
1178,10,354,2522
1179,10,354,2523
1180,10,355,2512
1181,10,355,2513
1182,10,355,2514
1183,10,355,2515
1184,10,355,2516
1185,10,355,2517
1186,10,355,2518
1187,10,355,2519
1188,10,355,2520
1189,10,355,2521
1190,10,355,2522
1191,10,355,2523
1192,10,356,2512
1193,10,356,2513
1194,10,356,2514
1195,10,356,2515
1196,10,356,2516
1197,10,356,2517
1198,10,356,2518
1199,10,356,2519
1200,10,356,2520
1201,10,356,2521
1202,10,356,2522
1203,10,356,2523
1204,10,357,2512
1205,10,357,2513
1206,10,357,2514
1207,10,357,2515
1208,10,357,2516
1209,10,357,2517
1210,10,357,2518
1211,10,357,2519
1212,10,357,2520
1213,10,357,2521
1214,10,357,2522
1215,10,357,2523
1216,10,358,2512
1217,10,358,2513
1218,10,358,2514
1219,10,358,2515
1220,10,358,2516
1221,10,358,2517
1222,10,358,2518
1223,10,358,2519
1224,10,358,2520
1225,10,358,2521
1226,10,358,2522
1227,10,358,2523
1228,10,359,2512
1229,10,359,2513
1230,10,359,2514
1231,10,359,2515
